question,answer_a,answer_b,answer_c,answer_d,correct_answer
What is the capital of France?,Paris,London,Rome,Berlin,A
Who wrote 'Pan Tadeusz'?,Adam Mickiewicz,Juliusz Słowacki,Bolesław Prus,Henryk Sienkiewicz,A
What is the square root of 16?,4,5,6,7,A
Which ocean is the largest?,Atlantic,Pacific,Indian,Arctic,B
In which year did World War II start?,1914,1920,1939,1945,C
What is the chemical symbol for gold?,Ag,Fe,Pb,Au,D
Who was the first president of the USA?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,A
What is the name of the highest mountain in the world?,K2,Kilimanjaro,Mount Everest,Mont Blanc,C
Which planet is closest to the Sun?,Mars,Earth,Venus,Mercury,D
How many legs does a spider have?,4,6,8,10,C
